model,class,support,precision,recall,f1,f1_ci_low,f1_ci_high
knn,normal_day,366,0.695852534562212,0.825136612021858,0.755,0.7185706806282722,0.7861375034207508
knn,fog,231,0.7302904564315352,0.7619047619047619,0.7457627118644068,0.6944296911464117,0.7933268229166667
knn,rain,194,0.6064516129032258,0.4845360824742268,0.5386819484240688,0.48220475785896344,0.6014362866617302
knn,glare,60,0.5909090909090909,0.43333333333333335,0.5,0.3882637628554144,0.6076257861635219
knn,backlight,55,0.7317073170731707,0.5454545454545454,0.625,0.49776507276507276,0.7162087912087912
knn,transition,77,0.603448275862069,0.45454545454545453,0.5185185185185185,0.4024262899262899,0.6100810185185185
knn,nir_night,361,0.9388888888888889,0.9362880886426593,0.9375866851595007,0.9162498848669062,0.9535165201371935
mlp_small_32,night_clear,417,0.9137529137529138,0.9400479616306955,0.9267139479905437,0.9074702380952381,0.9398954651905471
mlp_small_32,normal_night,352,0.7897574123989218,0.8323863636363636,0.8105117565698479,0.7802952539811527,0.8383457411059165
mlp_small_32,normal_day,366,0.6711111111111111,0.825136612021858,0.7401960784313726,0.7061056667945953,0.7746206293730901
mlp_small_32,fog,231,0.6802973977695167,0.7922077922077922,0.732,0.6867496101871102,0.7747792775869472
mlp_small_32,rain,194,0.6542056074766355,0.36082474226804123,0.46511627906976744,0.3908608596993373,0.5514417800246116
mlp_small_32,glare,60,0.56,0.23333333333333334,0.32941176470588235,0.2321928071928072,0.4611772486772485
mlp_small_32,backlight,55,0.7692307692307693,0.5454545454545454,0.6382978723404256,0.5360120759056929,0.7230706521739129
mlp_small_32,transition,77,0.5306122448979592,0.33766233766233766,0.4126984126984127,0.3029951690821256,0.48691265737410067
mlp_small_32,nir_night,361,0.946524064171123,0.9806094182825484,0.963265306122449,0.9477817290006132,0.9751084710743801
mlp_small_64_32,night_clear,417,0.9134396355353075,0.9616306954436451,0.9369158878504673,0.9220522937468366,0.9502973513322801
mlp_small_64_32,normal_night,352,0.804945054945055,0.8323863636363636,0.8184357541899442,0.7889579730980126,0.8460409031800449
mlp_small_64_32,normal_day,366,0.6785714285714286,0.8825136612021858,0.7672209026128266,0.7329733892496182,0.7979515964139666
mlp_small_64_32,fog,231,0.7685185185185185,0.7186147186147186,0.7427293064876958,0.7006388930310525,0.7837019808385447
mlp_small_64_32,rain,194,0.6739130434782609,0.4793814432989691,0.5602409638554217,0.5046124989342654,0.6234550112071726
mlp_small_64_32,glare,60,0.6190476190476191,0.21666666666666667,0.32098765432098764,0.217298830202056,0.4559293804130579
mlp_small_64_32,backlight,55,0.8157894736842105,0.5636363636363636,0.6666666666666666,0.5619981571673028,0.7448798328108671
mlp_small_64_32,transition,77,0.56,0.36363636363636365,0.4409448818897638,0.3342128254412022,0.5200211254081045
mlp_small_64_32,nir_night,361,0.9568733153638814,0.9833795013850416,0.9699453551912568,0.9508204218954597,0.9822996503966653
